"Dataset","Type","KC","Intercept","Slope"
"ds394","KC","allSkill","0.745420997677607","-0.000883995192978372"
"ds394","KC","allSkill*a","0.609994556709789","-0.00180165390906208"
"ds394","KC","allSkill*a*study3Spring2010Tutor_default_KC-generic-singular","-0.351826674837278","8.81391927693576e-05"
"ds394","KC","allSkill*number-letter","1.05461337084449","0.000907587157909838"
"ds394","KC","allSkill*number-letter*an","1.18426156458767","-0.000155213151985877"
"ds394","KC","allSkill*number-letter*an*study3Spring2010Tutor_default_KC-number-letter","-0.105146102010193","0.000896673428028347"
"ds394","KC","allSkill*rule_generic-noncount","0.362153001145273","6.14129990163844e-06"
"ds394","KC","allSkill*rule_generic-singular","-0.0618312837187078","-0.00029934031709316"
"ds394","KC","allSkill*study3Spring2010Tutor_default_KC-generic-noncount","-0.345158291480461","0.000465517276350098"
"ds394","KC","allSkill*study_generic-noncount","0.451006195818187","-0.00107566195624071"
"ds394","KC","allSkill*the","1.50527014313402","0.00065367948066738"
"ds394","KC","allSkill*the*already-mentioned","1.5383948035985","-0.000508800578736427"
"ds394","KC","allSkill*the*study3Spring2010Tutor_default_KC-already-mentioned","2.5688209984914","-0.000569163537216969"
"ds1980","KC","allSkill","0.802062392758647","-0.000373826336847201"
"ds1980","KC","allSkill*a","0.134415886590294","-0.000516433266902641"
"ds1980","KC","allSkill*a-an_combined-ordinal_number","0.892250547309032","0.000431439513006452"
"ds1980","KC","allSkill*adjective_phrase","-0.655383235087103","-1.59139203376832e-05"
"ds1980","KC","allSkill*a*produce_general_count_a","0.508980358072185","-0.000470029073860511"
"ds1980","KC","allSkill*explain_already_known","-0.214739661559282","-0.000301972463392095"
"ds1980","KC","allSkill*explain_prep_phrase","-0.784393943044449","-0.000197406977986008"
"ds1980","KC","allSkill*explain_same","0.892109416286615","0.000244184174351263"
"ds1980","KC","allSkill*INDEF-spelling_NOmatch","0.555462707023937","-0.000159092733792903"
"ds1980","KC","allSkill*INDEF-spelling_NOmatch*explain_single_letter","1.63447018929698","-0.00030874399535236"
