"Dataset","Type","KC","Intercept","Slope_time","Slope_opp"
"ds1980","KC","allSkill","0.743617953126233","0.000337283564992943",-0.0864774405558618
"ds1980","KC","allSkill*a","0.085810424834961","3.89211232464441e-05",-0.0260759808709177
"ds1980","KC","allSkill*a-an_combined-ordinal_number","0.599117445201418","0.000271742319987661",-0.0147902700310014
"ds1980","KC","allSkill*adjective_phrase","-1.25957106595831","-0.000571304952633739",0.112659179882111
"ds1980","KC","allSkill*a*produce_general_count_a","0.243257195010323","0.000110334417826162",-0.0385473146627708
"ds1980","KC","allSkill*explain_already_known","-0.510815097038143","-0.000231690932496884",0.0812304717701556
"ds1980","KC","allSkill*explain_prep_phrase","-1.74150645866616","-0.000789896887733486",0.154111720537133
"ds1980","KC","allSkill*explain_same","0.652579137966256","0.000295990995332944",-0.0119573336602803
"ds1980","KC","allSkill*INDEF-spelling_NOmatch","0.2499047522968","0.000113349557267931",-0.043421986677827
"ds1980","KC","allSkill*INDEF-spelling_NOmatch*explain_single_letter","1.48616003483777","0.000674079145874289",-0.140724831214897
"ds1980","KC","allSkill*INDEF-spelling_NOmatch*explain_single_letter*explain_single_letter-H","-1.2221346884969","-0.000554324896144351",0.115724211208096
"ds1980","KC","allSkill*INDEF-spelling_NOmatch*produce_general_count_a","-0.862633393723477","-0.000391265521621457",0.0816829519610395
"ds1980","KC","allSkill*INDEF-spelling_NOmatch*produce_single_letter","-1.94904640715192","-0.000884030997069395",0.192718335768133
"ds1980","KC","allSkill*none","-0.0594235344910678","-2.69527940703526e-05",-0.0137969058448052
"ds1980","KC","allSkill*none*explain_no_article","-0.343866741455263","-0.000155967993985279",0.0902987658469379
"ds1980","KC","allSkill*none*gneral_non-count","-0.625035586082196","-0.000283498037984392",-0.00320240740976061
"ds1980","KC","allSkill*none*gneral_non-count*explain_no_article","0.39613688811839","0.0001796762185314",-0.0564681325699596
"ds1980","KC","allSkill*ordinal_number","1.13812762055379","0.000516221723350663",-0.0800220264522611
"ds1980","KC","allSkill*produce_explain-h-explain_single_letter","1.45037663852731","0.00065784883375715",-0.145695344103372
"ds1980","KC","allSkill*produce_explain-tutorONLYnew-explain_general_count_a","-0.810812208321414","-0.000367760932899402",0.0184988038425457
"ds1980","KC","allSkill*produce_for-each_per","2.08729141432944","0.000946734928123348",-0.22775260481345
"ds1980","KC","allSkill*skill-tutorONLY-with-deceptive-initial-general_count_an","0.0774561884548138","3.51318836009464e-05",0.0118051892621007
"ds1980","KC","allSkill*the","0.600282346218908","0.000272270685348383",-0.0879515803325338
"ds1980","KC","allSkill*the*a-an_combined-same","2.9143734425194","0.00132187538006743",-0.272059980266165
"ds1980","KC","allSkill*the*already_mentioned","1.83641648859851","0.000832945328286315",-0.191599933351887
"ds1980","KC","allSkill*the*ordinal_number","1.44267750598938","0.000654356730239708",-0.106029326954388
"ds445","KC","all","0.162982235592761","-0.000825748682298447",0.252296978722359
"ds445","KC","all*9","2.04258479207312","0.00214857884286309",-0.531294924142889
"ds445","KC","all*NearBench","-0.680188929457701","-0.0014412434943246",0.405579042715768
"ds445","KC","all*NearBench*1/10","1.39813772740567","0.001912989404487",-0.429475915181982
"ds445","KC","all*NearBench*1/8","0.00584454459493237","-0.000892801764875272",0.240242468464435
"ds445","KC","all*NearBench*5/6","0.0055558811577786","0.000451818545417843",-0.0875597497262548
"ds445","KC","all*NearBench*Click","-0.182193545838136","-0.000235738123327659",0.0566280388055684
"ds445","KC","all*NearBench*Click*1/10","0.419022972611043","0.000253613106131811",-0.0205199113845495
"ds445","KC","all*NearBench*Click*9/10","0.718553244049067","9.03754701052854e-05",0.008803701631398
"ds445","KC","all*NearBench*Click*NonUnitNearBench","-0.940636558358914","-0.00124665639171219",0.274853764537611
"ds445","KC","all*NotNear","-0.620620250121671","-0.00097011122726603",0.0690541402366304
"ds445","KC","all*NotNear*1/3","-0.733973473116868","0.000135640474183522",-0.049588687553574
"ds445","KC","all*NotNear*2/5","-0.682992906040116","3.80367529435306e-05",-0.0145600682417364
"ds445","KC","all*NotNear*3/7","-1.08585936189847","-0.00110629542641421",0.264145393366693
"ds445","KC","all*NotNear*5/8","-0.559839407276031","-0.000409845517637494",0.0684998848871985
"ds445","KC","all*NotNear*Click","0.206573131600553","0.00103480916598522",-0.278917403188643
"ds445","KC","all*NotNear*Click*3/7","-2.3491355186953","-0.00313768094942609",0.789145021919512
"ds445","KC","all*NotNear*Click*NonUnitNotNear","-0.922107491675747","0.000213435955979078",-0.017751114133567
"ds445","KC","all*NotNear*Click*NonUnitNotNear*3/5","-1.67022487049858","-0.00188561175814669",0.460538674874485
"ds445","KC","all*NotNear*Click*NonUnitNotNear*7/10","-0.371725550478741","-0.000387840674151842",0.0889053546188945
"ds445","KC","all*Whole-numC","-2.47588379129729","-0.00505760701477547",1.37557979931162
"ds563","KC","compare_comparison","0.740567071406718","0.0273428943524569",-0.0519371633703007
"ds563","KC","denominator_addition","1.132441407884","0.0273422368246008",0.0735877989649827
"ds563","KC","denominator_comparison","1.42220756894247","0.0273409444998087",-0.0761083337084457
"ds563","KC","denominator_equivalentConc","-0.32415194567091","0.0273435661098915",0.0143848598912598
"ds563","KC","denominator_equivalentProc","0.829602390329247","0.0273439825175751",0.00317081926186214
"ds563","KC","denominator_makeFract","1.95291528528008","0.0273439156372882",-0.0654770626291033
"ds563","KC","denominator_makeImpFract","-0.0420746457845138","0.0273429616496706",-0.0202487636304263
